tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6
tefreqs:, 1, 0, 0, 0, 0, 0, 0.0895851, 0.0945925, 0.182821, 0.185717, 0.273289
tefreqs:, 2, 0.05, 0, 0, 0.05, 0.0324824, 0.0955154, 0.0997567, 0.185732, 0.188439, 0.275199
tefreqs:, 3, 0.1, 0, 0, 0.1, 0.064882, 0.111426, 0.113864, 0.194199, 0.196389, 0.280855
tefreqs:, 4, 0.15, 0, 0, 0.15, 0.0970987, 0.133795, 0.134164, 0.207537, 0.209001, 0.290045
tefreqs:, 5, 0.2, 0, 0, 0.2, 0.128997, 0.158386, 0.159926, 0.224867, 0.225541, 0.302461
tefreqs:, 6, 0.25, 0, 0, 0.25, 0.160398, 0.185168, 0.188245, 0.245271, 0.245329, 0.317734
tefreqs:, 7, 0.3, 0, 0, 0.3, 0.191109, 0.213778, 0.217884, 0.267542, 0.268184, 0.335459
tefreqs:, 8, 0.35, 0, 0, 0.35, 0.220996, 0.243777, 0.248347, 0.29181, 0.292848, 0.355094
tefreqs:, 9, 0.4, 0, 0, 0.4, 0.250006, 0.274793, 0.279337, 0.317529, 0.318868, 0.363854
tefreqs:, 10, 0.45, 0, 0, 0.45, 0.277842, 0.30641, 0.31065, 0.335661, 0.345872, 0.347379
tefreqs:, 11, 0.5, 0, 0, 0.5, 0.297742, 0.317243, 0.338462, 0.339709, 0.341356, 0.342931
