tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.0892622, 0.0946188, 0.182172, 0.185877, 0.273506
tmfreqs:, 2, 0.05, 0, 0, 0.05, 0.0320823, 0.0946037, 0.100243, 0.184985, 0.188685, 0.275346
tmfreqs:, 3, 0.1, 0, 0, 0.1, 0.0640119, 0.109119, 0.115481, 0.193193, 0.196862, 0.280792
tmfreqs:, 4, 0.15, 0, 0, 0.15, 0.0956073, 0.12991, 0.137154, 0.206189, 0.209763, 0.289637
tmfreqs:, 5, 0.2, 0, 0, 0.2, 0.126647, 0.154714, 0.162695, 0.223192, 0.226555, 0.301575
tmfreqs:, 6, 0.25, 0, 0, 0.25, 0.156918, 0.182215, 0.19053, 0.243422, 0.246404, 0.316253
tmfreqs:, 7, 0.3, 0, 0, 0.3, 0.186322, 0.211623, 0.21976, 0.266192, 0.268585, 0.333305
tmfreqs:, 8, 0.35, 0, 0, 0.35, 0.214916, 0.242344, 0.249852, 0.290919, 0.292514, 0.352387
tmfreqs:, 9, 0.4, 0, 0, 0.4, 0.242766, 0.273902, 0.280466, 0.316946, 0.317733, 0.354218
tmfreqs:, 10, 0.45, 0, 0, 0.45, 0.269524, 0.305846, 0.311355, 0.327347, 0.343877, 0.34643
tmfreqs:, 11, 0.5, 0, 0, 0.5, 0.288178, 0.309396, 0.338247, 0.339118, 0.341635, 0.342957
